序号,类别,抽取结果,原文依据,来源URL,判定,说明
89,实体·事件,中央军委改革工作会议举行（事件）,中央军委改革工作会议举行。习近平出席会议并发表讲话。他强调，深化国防和军队改革是实现中国梦、强军梦的时代要求，是强军兴军的必由之路，也是决定军队未来的关键一招。要深入贯彻党在新形势下的强军目标，动员全军和各方面力量，坚定信心、凝聚意志，统一,https://www.dswxyjy.org.cn/GB/434461/434472/434501/index.html,对,
90,实体·文献,关于在全党开展深入学习实践科学发展观活动的意见（文献）,中共中央印发《关于在全党开展深入学习实践科学发展观活动的意见》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
91,实体·文献,中华人民共和国农业税条例（文献）,十届全国人大常委会第十九次会议决定，自2006年1月1日起废止《中华人民共和国农业税条例》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
92,实体·事件,以美国为首的北约飞机用导弹袭击中国驻南斯拉夫大使馆，造成使馆馆舍破坏和使馆人员伤亡（事件）,以美国为首的北约飞机用导弹袭击中国驻南斯拉夫大使馆，造成使馆馆舍破坏和使馆人员伤亡。5月9日，国家副主席胡锦涛发表电视讲话，强烈谴责以美国为首的北约袭击我驻南使馆的暴行。表示中国政府将坚定不移地奉行独立、自主、和平的外交政策，坚定不移地维护,https://www.dswxyjy.org.cn/GB/434461/434466/434703/index.html,对,
93,实体·文献,关于促进农民增加收入若干政策的意见（文献）,中国自主设计建造的第一艘万吨级远洋货轮“东风”号成功交付,https://www.dswxyjy.org.cn/GB/434461/434473/435009/index.html,对,
94,实体·事件,中共中央、国务院印发《关于加强和创新社会管理的意见》（事件）,中共中央、国务院印发《关于加强和创新社会管理的意见》。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
95,实体·事件,毛泽东在广州国民党政治讲习班纪念巴黎公社五十五周年集会上发表讲演，着重总结了巴黎公社失败的教训（事件）,毛泽东在广州国民党政治讲习班纪念巴黎公社五十五周年集会上发表讲演，着重总结了巴黎公社失败的教训。讲演指出：巴黎公社是开的光明的花，俄国革命是结的幸福的果。马克思说：“人类的历史，是一部阶级斗争史。”这是事实，是不能否认的。其实四千多年的中国,https://www.dswxyjy.org.cn/GB/434461/434464/434775/index.html,对,
96,实体·文献,国家创新驱动发展战略纲要（文献）,中共中央、国务院印发《关于深化体制机制改革加快实施创新驱动发展战略的若干意见》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
97,实体·事件,庆祝中国人民解放军建军90周年大会在京隆重举行（事件）,庆祝中国人民解放军建军90周年大会在京隆重举行。习近平在会上发表讲话强调，人民军队的历史辉煌，是鲜血生命铸就的，永远值得我们铭记。人民军队的历史经验，是艰辛探索得来的，永远需要我们弘扬。人民军队的历史发展，是忠诚担当推动的，永远激励我们向前,https://www.dswxyjy.org.cn/GB/434461/434469/434604/index.html,对,
98,实体·文献,关于加快培育和发展战略性新兴产业的决定（文献）,国务院作出《关于加快培育和发展战略性新兴产业的决定》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
99,实体·事件,圆桌峰会闭幕后，习近平会见中外记者，介绍第二届“一带一路”国际合作高峰论坛圆桌峰会情况和主要成果（事件）,圆桌峰会闭幕后，习近平会见中外记者，介绍第二届“一带一路”国际合作高峰论坛圆桌峰会情况和主要成果。他强调，这届论坛对外传递了一个明确信号：共建“一带一路”的朋友圈越来越大，好伙伴越来越多，合作质量越来越高，发展前景越来越好。中国愿同各方一道,https://www.dswxyjy.org.cn/GB/434461/434465/434753/index.html,对,
100,实体·文献,关于新时期军队政治工作的决定（文献）,中共中央批转中央军委《关于新时期军队政治工作的决定》，并发出通知指出：在改革、开放、搞活的新形势下，思想政治工作只能加强，不能削弱,https://www.dswxyjy.org.cn/GB/434461/434463/434803/index.html,对,
101,实体·事件,中国自主研制的运-20大型运输机首次试飞取得圆满成功（事件）,中国自主研制的运-20大型运输机首次试飞取得圆满成功。2016年7月6日，运-20大型运输机正式列装空军航空兵部队。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
102,实体·事件,在革命面临严重危机的关头，中共中央政治局常委会举行扩大会议（事件）,在革命面临严重危机的关头，中共中央政治局常委会举行扩大会议。陈独秀主张：国民革命军招兵时，农民协会的会员和自卫武装可应征加入。被紧急从湖南召回的毛泽东提出农民武装可以“上山”或加入同党有联系的军队中去，以保存革命的力量。他还指出：不保存武力,https://www.dswxyjy.org.cn/GB/434461/434468/434638/index.html,对,
103,实体·文献,关于新时代推动中部地区高质量发展的意见（文献）,中共中央、国务院印发《关于新时代推动中部地区高质量发展的意见》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
104,实体·事件,西北野战兵团取得了羊马河战役的胜利（事件）,西北野战兵团取得了羊马河战役的胜利。图为羊马河战役战场。,https://www.dswxyjy.org.cn/GB/434461/434465/434740/index.html,对,
105,实体·事件,苏共中央政治局委员米高扬受斯大林委托飞抵石家庄，随即转乘汽车至西柏坡中共中央驻地（事件）,苏共中央政治局委员米高扬受斯大林委托飞抵石家庄，随即转乘汽车至西柏坡中共中央驻地。当天，毛泽东与刘少奇、朱德、周恩来、任弼时等会见米高扬。其后，毛泽东同米高扬多次会谈。在会谈中说：到目前为止，中国革命发展较为迅速，军事进展也较快，比过去我们,https://www.dswxyjy.org.cn/GB/434461/434462/434848/index.html,对,
106,实体·事件,陈云为祝贺我国第三颗通讯卫星发射成功给国防科工委题词（事件）,陈云为祝贺我国第三颗通讯卫星发射成功给国防科工委题词。,https://www.dswxyjy.org.cn/GB/434461/434463/434808/index.html,对,
107,实体·文献,两岸和平发展共同愿景（文献）,中共中央总书记胡锦涛在北京同中国国民党主席连战举行正式会谈,https://www.dswxyjy.org.cn/GB/434461/434465/434755/index.html,对,
108,实体·文献,中国社会各阶级的分析（文献）,毛泽东发表《中国社会各阶级的分析》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
109,实体·事件,中共中央举行纪念邓小平同志诞辰110周年座谈会（事件）,中共中央举行纪念邓小平同志诞辰110周年座谈会。习近平发表讲话强调，邓小平同志为我们擘画的社会主义现代化蓝图正在一步步变成美好现实，我们伟大的祖国正在一天天走向繁荣富强，中华民族正在一步步走向伟大复兴。我们相信，在20世纪赢得了伟大历史性胜,https://www.dswxyjy.org.cn/GB/434461/434469/434623/index.html,对,
110,实体·事件,中共中央发出《关于土地问题的指示》(即《五四指示》)（事件）,中共中央发出《关于土地问题的指示》(即《五四指示》)。将党在抗战时期实行的削弱封建的减租减息政策，改变为实行“耕者有其田”的政策。指示要求“各地党委必须明确认识，解决解放区的土地问题是我党目前最基本的历史任务，是目前一切工作的最基本的环节。,https://www.dswxyjy.org.cn/GB/434461/434466/434699/index.html,对,
111,实体·地点,陕甘宁边区（地点）,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
112,实体·事件,中共中央召开会议，听取从南京归来的周恩来关于国共谈判情况和形势问题的报告（事件）,中共中央召开会议，听取从南京归来的周恩来关于国共谈判情况和形势问题的报告。毛泽东作长篇讲话，肯定代表团的工作达到了教育人民的目的，并指出：前一段时间，在中国人民中间以及我们党内都有打不打得起来的问题，现在这个问题已经解决了，剩下的便是我们能,https://www.dswxyjy.org.cn/GB/434461/434472/434498/index.html,对,
113,实体·事件,中共中央印发《中国共产党廉洁自律准则》和《中国共产党纪律处分条例》（事件）,中共中央印发《中国共产党廉洁自律准则》和《中国共产党纪律处分条例》。2018年8月18日，中共中央印发修订后的《中国共产党纪律处分条例》。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
114,实体·事件,习近平指出，提高国家文化软实力，要努力展示中华文化独特魅力（事件）,习近平指出，提高国家文化软实力，要努力展示中华文化独特魅力。在5000多年文明发展进程中，中华民族创造了博大精深的灿烂文化，要使中华民族最基本的文化基因与当代文化相适应、与现代社会相协调，以人们喜闻乐见、具有广泛参与性的方式推广开来，把跨越,https://www.dswxyjy.org.cn/GB/434461/434473/435008/index.html,对,
115,实体·事件,毛泽东出席中国人民政治协商会议第一届全体会议闭幕式（事件）,毛泽东出席中国人民政治协商会议第一届全体会议闭幕式。会议选举中国人民政协第一届全国委员会委员，选举中华人民共和国中央人民政府主席、副主席及全体委员。毛泽东当选为中国人民政协全国委员会委员、中央人民政府主席。大会通过由毛泽东起草的《中国人民政,https://www.dswxyjy.org.cn/GB/434461/434470/434603/index.html,对,
116,实体·事件,毛泽东和彭德怀复电王以哲并转张学良（事件）,毛泽东和彭德怀复电王以哲并转张学良。电报说：敝方代表周恩来偕李克农依约于八日赴肤施(即延安)与张学良会商救国大计。双方会谈之问题，敝方拟定为：(一)停止一切内战，全国军队不分红白一致抗日救国问题。(二)全国红军集中河北，首先抵御日本帝国主义,https://www.dswxyjy.org.cn/GB/434461/434465/434732/index.html,对,
117,实体·组织,中国科学院（组织）,中共中央发出《关于召开全国科学大会的通知》，要求抓紧落实党的知识分子政策，迅速恢复被撤掉的科研机构，恢复科研人员的技术职称，建立考核制度，实行技术岗位责任制,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
118,实体·事件,中国人民政治协商会议第一届全国委员会举行第二次会议（事件）,中国人民政治协商会议第一届全国委员会举行第二次会议。会议的中心议题是讨论改革封建土地制度问题。会上，刘少奇作《关于土地改革问题的报告》，阐明了土地改革的重大意义和党的方针政策。毛泽东在闭幕词中号召包括民族资产阶级、各民主党派在内的各阶层人士,https://www.dswxyjy.org.cn/GB/434461/434467/434679/index.html,对,
119,实体·事件,中共十四届四中全会召开（事件）,中共十四届四中全会召开。全会通过《关于加强党的建设几个重大问题的决定》，把党的建设提到新的伟大工程的高度。 中共十四届四中全会召开。全会通过《关于加强党的建设几个重大问题的决定》，把党的建设提到新的伟大工程的高度。 1995年 9月25日-,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
120,实体·文献,关于集中力量执行支左、支农、支工、军管、军训任务的决定（文献）,中央军委作出《关于集中力量执行支左、支农、支工、军管、军训任务的决定》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
121,实体·事件,中共扩大的六届六中全会在延安召开（事件）,中共扩大的六届六中全会在延安召开。全会首次提出马克思主义中国化的命题，重申个人服从组织、少数服从多数、下级服从上级、全党服从中央的纪律，正确分析抗日战争的形势，规定党在抗战新阶段的任务，为实现党对抗日战争的领导进行了全面的战略规划，进一步巩,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
122,实体·事件,中共中央发表宣言，抗议英帝国主义干涉中国革命（事件）,中共中央发表宣言，抗议英帝国主义干涉中国革命。,https://www.dswxyjy.org.cn/GB/434461/434462/434829/index.html,对,
123,实体·文献,关于征求〈1956-1967年科学技术发展远景规划纲要(修正草案)〉意见的报告（文献）,中共中央同意国务院科学规划委员会党组《关于征求〈1956-1967年科学技术发展远景规划纲要(修正草案)〉意见的报告》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
124,实体·事件,国务院成立科学规划委员会（事件）,国务院成立科学规划委员会。12月22日，中共中央同意国务院科学规划委员会党组《关于征求〈1956-1967年科学技术发展远景规划纲要(修正草案)〉意见的报告》。,https://www.dswxyjy.org.cn/GB/434461/434464/434771/index.html,对,
125,实体·事件,毛泽东会见美国记者安娜·路易斯·斯特朗，提出“一切反动派都是纸老虎”的著名论断（事件）,毛泽东会见美国记者安娜·路易斯·斯特朗，提出“一切反动派都是纸老虎”的著名论断。谈话指出：决定战争胜败的是人民，而不是一两件新式武器。一切反动派都是纸老虎。看起来，反动派的样子是可怕的，但是实际上并没有什么了不起的力量。从长远的观点看问题，,https://www.dswxyjy.org.cn/GB/434461/434469/434609/index.html,对,
126,实体·事件,周恩来致电中共中央并叶剑英、李克农（事件）,周恩来致电中共中央并叶剑英、李克农。电报指出：美蒋在三个问题上已取得一致意见，即不承认全国内战，不承认调解失败，不愿撤兵(即美军)。现时斗争已临最后一幕，中心对美，只要使马歇尔、司徒雷登不论从军事上政治上都已无话可说，则一切责任自明，美国骗,https://www.dswxyjy.org.cn/GB/434461/434469/434634/index.html,对,
127,实体·组织,全国人民代表大会常务委员会（组织）,邓小平在全国政协讨论五届全国人大常委会五次会议通过的《全国人民代表大会常务委员会告台湾同胞书》的座谈会上讲话，提出把解决台湾问题、完成祖国统一大业提上具体日程,https://www.dswxyjy.org.cn/GB/434461/434462/434818/index.html,对,
128,实体·事件,中国农业科学院在北京成立（事件）,中国农业科学院在北京成立。,https://www.dswxyjy.org.cn/GB/434461/434464/434758/index.html,对,
129,实体·组织,中国工程院（组织）,习近平在中国科学院第二十次院士大会、中国工程院第十五次院士大会、中国科协第十次全国代表大会上讲话指出，要加快建设科技强国，实现高水平科技自立自强,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
130,实体·事件,中国社会主义青年团第二次全国代表大会在南京召开（事件）,中国社会主义青年团第二次全国代表大会在南京召开。大会拥护中国共产党第三次全国代表大会所确定的同国民党合作的方针，决定社会主义青年团员同共产党员一样，以个人身份加入国民党，并在加入后，仍保持团的独立性，同共产党的言论行动保持一致。,https://www.dswxyjy.org.cn/GB/434461/434469/434623/index.html,对,
131,实体·事件,中共中央政治局就加强反腐倡廉法规制度建设进行第二十四次集体学习（事件）,中共中央政治局就加强反腐倡廉法规制度建设进行第二十四次集体学习。习近平在主持学习时强调，我们党长期执政，既具有巨大政治优势，也面临严峻挑战，必须依靠党的各级组织和人民的力量，不断加强和改进党的建设、管理、监督。铲除不良作风和腐败现象滋生蔓延,https://www.dswxyjy.org.cn/GB/434461/434467/434691/index.html,对,
132,实体·文献,关于科技体制改革若干问题的决定（文献）,国务院作出《关于科技体制改革若干问题的决定》,https://www.dswxyjy.org.cn/GB/434461/434466/434698/index.html,对,
133,实体·文献,科学技术是第一生产力（文献）,邓小平在会见捷克斯洛伐克总统胡萨克时 提出科学技术是第一生产力,https://www.dswxyjy.org.cn/GB/434461/434470/434578/index.html,对,
134,实体·组织,总后勤部（组织）,解放军总参谋部、总政治部、总后勤部发出通知，规定预备役部队正式列入人民解放军建制序列,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
135,实体·文献,关于修改〈中华人民共和国民族区域自治法〉的决定（文献）,六届全国人大二次会议通过《中华人民共和国民族区域自治法》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
136,实体·事件,毛泽东、朱德发布《向全国进军的命令》（事件）,毛泽东、朱德发布《向全国进军的命令》。20日夜至21日，由刘伯承、陈毅、邓小平、粟裕、谭震林组成的总前敌委员会(邓小平为书记)指挥的第二、第三野战军，在第四野战军先遣兵团和中原军区部队配合下，发起渡江战役。百万雄师强渡长江。23日解放南京，,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
137,实体·事件,周恩来在接见参加中印有关问题谈判的印度代表团时首次提出和平共处五项原则（事件）,周恩来在接见参加中印有关问题谈判的印度代表团时首次提出和平共处五项原则。,https://www.dswxyjy.org.cn/GB/434461/434473/435009/index.html,对,
138,实体·文献,中华人民共和国律师暂行条例（文献）,五届全国人大常委会第十五次会议决定，同意在广东省深圳、珠海、汕头和福建省厦门设置经济特区，批准了《中华人民共和国广东省经济特区条例》，决定设立国家能源委员会，通过了《中华人民共和国律师暂行条例》,https://www.dswxyjy.org.cn/GB/434461/434469/434629/index.html,对,
139,实体·文献,关于加强和规范全国人大代表活动的若干意见（文献）,新华社报道，中共中央转发《中共全国人大常委会党组关于进一步发挥全国人大代表作用，加强全国人大常委会制度建设的若干意见》的通知，要求各地区各部门认真贯彻执行,https://www.dswxyjy.org.cn/GB/434461/434467/434682/index.html,对,
140,实体·事件,习近平致信祝贺人民日报创刊70周年（事件）,习近平致信祝贺人民日报创刊70周年。他在贺信中指出，当前，中国特色社会主义进入了新时代，全面建设社会主义现代化强国新征程已经开启。人民日报要深入学习贯彻新时代中国特色社会主义思想和党的十九大精神，忠实履行党的新闻舆论工作职责使命，坚持正确政,https://www.dswxyjy.org.cn/GB/434461/434467/434680/index.html,对,
141,实体·事件,中央人民政府扫除文盲工作委员会成立（事件）,中央人民政府扫除文盲工作委员会成立。群众性的扫盲运动有计划、有步骤地在全国大规模展开。,https://www.dswxyjy.org.cn/GB/434461/434472/434492/index.html,对,
142,实体·文献,内地与澳门关于建立更紧密经贸关系的安排（文献）,内地与香港签署《内地与香港关于建立更紧密经贸关系的安排》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
143,实体·事件,邓小平在同中央负责同志谈《关于建国以来党的若干历史问题的决议》稿起草问题时指出，中心的意思应该是三条（事件）,邓小平在同中央负责同志谈《关于建国以来党的若干历史问题的决议》稿起草问题时指出，中心的意思应该是三条。第一，确立毛泽东的历史地位，坚持和发展毛泽东思想。这是最核心的一条。第二，对建国30年来历史上的大事，要进行实事求是的分析，包括一些负责同,https://www.dswxyjy.org.cn/GB/434461/434464/434776/index.html,对,
144,实体·文献,民主和法制两手都不能削弱（文献）,邓小平会见日本公明党委员长竹入义胜率领的日本公明党第八次访华团时，就中国的民主与法制建设问题指出：民主和法制，这两个方面都应该加强,https://www.dswxyjy.org.cn/GB/434461/434467/434693/index.html,对,
145,实体·事件,毛泽东同巴基斯坦武装部队友好代表团谈话（事件）,毛泽东同巴基斯坦武装部队友好代表团谈话。谈话指出：一个国家的武器专靠外国是很危险的。自己搞，有个十年八年，最多十几年，就可以有个初步基础。要树立自力更生的思想。什么都靠外国顾问，什么都要进口，我看不是个办法。我们的国家吃过这个亏。蒋介石那个,https://www.dswxyjy.org.cn/GB/434461/434472/434487/index.html,对,
146,实体·事件,邓小平会见香港总督麦理浩（事件）,邓小平会见香港总督麦理浩。,https://www.dswxyjy.org.cn/GB/434461/434464/434786/index.html,对,
147,实体·文献,内地与香港关于建立更紧密经贸关系的安排（文献）,内地与香港签署《内地与香港关于建立更紧密经贸关系的安排》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
148,实体·事件,东北抗日联军第一路军总司令杨靖宇，在濛江县(今吉林省靖宇县)境内战斗中壮烈牺牲（事件）,东北抗日联军第一路军总司令杨靖宇，在濛江县(今吉林省靖宇县)境内战斗中壮烈牺牲。日军为稳定东北这块侵略基地，对抗联进行疯狂的“讨伐”，加紧实施“治安肃正”计划，使已经与中共中央失去联系的东北抗日联军处境更为困难，但他们仍英勇地坚持分散的游击,https://www.dswxyjy.org.cn/GB/434461/434463/434811/index.html,对,
149,实体·组织,中华全国供销合作总社（组织）,中华全国合作社第一次代表大会在北京举行,https://www.dswxyjy.org.cn/GB/434461/434468/434654/index.html,对,
150,实体·事件,第一次全国教育工作会议召开（事件）,第一次全国教育工作会议召开。会议提出教育必须为国家建设服务，学校必须为工农开门。1950年9月，第一次全国工农教育会议召开，提出“推行识字教育，逐步减少文盲”的口号。1952年11月，中央人民政府扫除文盲工作委员会成立。群众性的扫盲运动有计,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
151,实体·事件,毛泽东为中国人民解放军海军的题词（事件）,毛泽东为中国人民解放军海军的题词。,https://www.dswxyjy.org.cn/GB/434461/434463/434809/index.html,对,
152,实体·事件,毛泽东出席在武昌举行的河南武装农民代表大会，并作湖南农运状况报告（事件）,毛泽东出席在武昌举行的河南武装农民代表大会，并作湖南农运状况报告。图为大会会场——武昌农讲所大操场。,https://www.dswxyjy.org.cn/GB/434461/434464/434775/index.html,对,
153,实体·文献,关于知识分子的改造问题（文献）,周恩来在北京、天津高等学校教师学习会上作《关于知识分子的改造问题》报告,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
154,实体·文献,关于制定国民经济和社会发展第十一个五年规划的建议（文献）,中共十六届五中全会召开,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
155,实体·文献,关于加强统一战线工作的通知（文献）,全国统战工作会议在北京召开,https://www.dswxyjy.org.cn/GB/434461/434467/434676/index.html,对,
156,实体·事件,邓小平视察上海南浦大桥工地时同大桥工程设计人员握手（事件）,邓小平视察上海南浦大桥工地时同大桥工程设计人员握手。,https://www.dswxyjy.org.cn/GB/434461/434463/434806/index.html,对,
157,实体·事件,中共中央宣传部、教育部联合颁发《关于加强和改进高等院校马列主义理论教育的若干规定》（事件）,中共中央宣传部、教育部联合颁发《关于加强和改进高等院校马列主义理论教育的若干规定》。《规定》指出：现行的课程设置和教材必须进行改革。改革的原则是：坚持理论联系实际的方针，增强课程体系和教材内容的科学性和现实性，使马克思主义理论真正成为学生认,https://www.dswxyjy.org.cn/GB/434461/434470/434577/index.html,对,
158,实体·事件,全国组织工作会议在北京召开（事件）,全国组织工作会议在北京召开。习近平在会上强调，各级党委和组织部门要坚持以党的执政能力建设和先进性建设为主线，在坚持改革创新上下功夫，在突破重点难点上下功夫，在做好基础工作上下功夫，在提高工作水平上下功夫，为夺取全面建设小康社会新胜利提供坚强,https://www.dswxyjy.org.cn/GB/434461/434463/434805/index.html,对,
159,实体·组织,红一方面军（组织）,红一、红三军和军委纵队北上到达甘肃哈达铺，正式改编为陕甘支队，彭德怀任司令员，毛泽东任政治委员,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
160,实体·文献,关于增强党的团结的决议（文献）,中共七届四中全会召开,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
161,实体·事件,中国共产党全国代表会议通过决议，决定成立党的中央和地方监察委员会，董必武任中央监察委员会书记（事件）,中国共产党全国代表会议通过决议，决定成立党的中央和地方监察委员会，董必武任中央监察委员会书记。原有的中央及地方各级党的纪律检查委员会撤销。,https://www.dswxyjy.org.cn/GB/434461/434464/434788/index.html,对,
162,实体·文献,中国社会主义青年团纲领（文献）,中国社会主义青年团第一次代表大会在广州举行，到会代表25人，代表全国15个地区团组织的5000多名团员,https://www.dswxyjy.org.cn/GB/434461/434466/434700/index.html,对,
163,实体·事件,习近平主持召开网络安全和信息化工作座谈会，强调在践行新发展理念上先行一步，让互联网更好造福国家和人民（事件）,习近平主持召开网络安全和信息化工作座谈会，强调在践行新发展理念上先行一步，让互联网更好造福国家和人民。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
164,实体·事件,毛泽东同索马里总理舍马克谈话（事件）,毛泽东同索马里总理舍马克谈话。谈话指出：我们赞成全世界人民从帝国主义、殖民主义的统治下解放出来。只有到那个时候，世界人民才会安宁，我们自己也才会最后得到安宁。受压迫的人民自己总是要起来的。我们认为，支持就是声援，给予经济上的帮助，必要时并给,https://www.dswxyjy.org.cn/GB/434461/434469/434612/index.html,对,
165,实体·事件,《中华人民共和国土地改革法》公布施行（事件）,《中华人民共和国土地改革法》公布施行。到1952年底，除一部分少数民族地区外，土地改革在中国大陆基本完成，封建土地所有制被彻底摧毁。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
166,实体·事件,国务院批转教育部、国家计委《关于加速发展高等教育的报告》（事件）,国务院批转教育部、国家计委《关于加速发展高等教育的报告》。《报告》提出，为了实现党的十二大确定的奋斗目标，教育必须先行，加速发展高等教育刻不容缓。5月3日，国务院批准成立全国高等教育自学考试指导委员会，并同意在全国各省、市、自治区逐步推行高,https://www.dswxyjy.org.cn/GB/434461/434465/434754/index.html,对,
167,实体·事件,西北野战军撤离延安，进行战略转移（事件）,西北野战军撤离延安，进行战略转移。,https://www.dswxyjy.org.cn/GB/434461/434464/434776/index.html,对,
168,实体·事件,庆祝中国共产党成立95周年大会召开（事件）,庆祝中国共产党成立95周年大会召开。习近平讲话指出，要永远保持建党时中国共产党人的奋斗精神，永远保持对人民的赤子之心。一切向前走，都不能忘记走过的路；走得再远、走到再光辉的未来，也不能忘记走过的过去，不能忘记为什么出发。面向未来，面对挑战，,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
169,实体·事件,中共中央成立南方局，重新成立北方局（事件）,中共中央成立南方局，重新成立北方局。土地革命战争时期，中共中央还成立了长江局、苏区中央局、苏区中央分局、湘鄂西中央分局、鄂豫皖中央分局、上海中央局、西北局。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
170,实体·事件,中外记者西北参观团抵达延安（事件）,中外记者西北参观团抵达延安。记者团成员有美联社、合众社、路透社、塔斯社等外国新闻社的六名驻华记者，《大公报》、《中央日报》、《扫荡报》、《新民晚报》等国统区新闻单位的十多名中国记者及国民党官员、翻译等共二十余人。该团在延安参观访问一个月左右,https://www.dswxyjy.org.cn/GB/434461/434467/434674/index.html,对,
171,实体·事件,白求恩在河北唐县逝世（事件）,白求恩在河北唐县逝世。1938年3月，加拿大共产党员诺尔曼·白求恩率领的加拿大—美国援华医疗队到达延安，受到毛泽东等的热情接待。4月，白求恩转赴晋察冀抗日根据地，为八路军和敌后群众服务。后因在医治伤员时手指感染中毒逝世。毛泽东撰文高度赞扬了,https://www.dswxyjy.org.cn/GB/434461/434472/434489/index.html,对,
172,实体·事件,习近平出席二十国集团领导人第八次峰会（事件）,习近平出席二十国集团领导人第八次峰会。他在讲话中指出，当前贸易保护主义明显抬头，多哈回合谈判停滞不前，多边贸易体系面临诸多挑战，这不利于世界经济复苏，不符合各国利益。二十国集团占全球贸易量的80%，要有忧患意识，承担责任，推动新一轮世界贸易,https://www.dswxyjy.org.cn/GB/434461/434470/434579/index.html,对,
173,实体·事件,中国成功发射世界首颗量子科学实验卫星“墨子号”（事件）,中国成功发射世界首颗量子科学实验卫星“墨子号”。2017年6月、8月，“墨子号”卫星先后在国际上首次成功实现千公里级卫星和地面之间的量子纠缠分发、量子密钥分发和量子隐形传态。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
174,实体·文献,八路军大合唱（文献）,俄国苏维埃政府发表第一次对华宣言，宣布废除沙皇俄国同中国签订的不平等条约，废除俄国在中国的特权,https://www.dswxyjy.org.cn/GB/434461/434468/434659/index.html,对,
175,实体·事件,中共中央在延安召开生产动员大会，毛泽东在会上发出“自己动手”的号召（事件）,中共中央在延安召开生产动员大会，毛泽东在会上发出“自己动手”的号召。1940年2月10日，中央军委向全军发出指示，要求各部队依据不同环境和条件，积极开展生产运动，做到一面战斗，一面生产，一面学习。1941年3月，八路军第三五九旅根据中央命令,https://www.dswxyjy.org.cn/GB/434461/434463/434790/index.html,对,
176,实体·文献,第二次战争中的地方武装工作（文献）,中央革命军事委员会主席项英，副主席朱德、毛泽东发布关于《第二次战争中的地方武装工作》的通令,https://www.dswxyjy.org.cn/GB/434461/434465/434743/index.html,对,
177,实体·事件,毛泽东为中共中央起草关于五反定案、补退工作等的指示，为结束五反运动，提出一系列从宽处理的政策规定（事件）,毛泽东为中共中央起草关于五反定案、补退工作等的指示，为结束五反运动，提出一系列从宽处理的政策规定。指示指出：在五反斗争中，工作组和工人对资本家违法所得数一般都算得很高，在定案时必须合理地降下来，使合乎经济情况的实际，必须使一般资本家在补退之,https://www.dswxyjy.org.cn/GB/434461/434466/434704/index.html,对,
178,实体·事件,中国首次火星探测任务天问一号探测器成功发射，迈出了我国自主开展行星探测第一步（事件）,中国首次火星探测任务天问一号探测器成功发射，迈出了我国自主开展行星探测第一步。2021年5月15日，天问一号成功着陆火星。22日，祝融号火星车驶抵火星表面并开展科学巡测，标志着首次火星探测任务取得圆满成功。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
179,实体·事件,毛泽东发表《对日寇的最后一战》的声明，号召中国人民的一切抗日力量举行全国规模的反攻（事件）,毛泽东发表《对日寇的最后一战》的声明，号召中国人民的一切抗日力量举行全国规模的反攻。图为当时的报道。,https://www.dswxyjy.org.cn/GB/434461/434469/434612/index.html,对,
